City,Personal_Crime_Count,Personal_Name_Count,Property_Crime_Count,Property_Name_Count,Drug_Crime_Count,Drug_Name_Count,Total_Crime_Count,Total_Name_Count
ANGIER,0,0,2,1,0,0,5,4
APEX,144,112,215,130,146,77,915,434
CARY,404,319,293,187,239,145,1765,895
CLAYTON,11,6,9,4,7,4,43,17
CREEDMOOR,1,1,13,1,1,1,18,1
DURHAM,18,9,23,8,6,4,68,22
FUQUAY VARINA,154,116,139,87,223,126,966,421
GARNER,259,202,441,286,285,171,1678,851
HOLLY SPRINGS,111,88,205,110,272,133,994,448
KNIGHTDALE,109,83,143,95,95,54,625,326
MORRISVILLE,93,75,150,76,83,52,532,280
NEW HILL,6,5,8,6,7,7,36,26
RALEIGH,4450,2945,5035,2634,3941,2042,23995,9302
ROLESVILLE,35,25,46,28,50,26,217,107
WAKE FOREST,151,114,246,163,323,175,1421,700
WENDELL,69,49,68,42,61,29,383,205
WILLOW SPRING,13,11,20,9,26,12,111,39
YOUNGSVILLE,2,2,0,0,0,0,4,2
ZEBULON,68,56,87,51,76,44,477,257
